,Common Name,Species
0,Great Reed Warbler,Acrocephalus arundinaceus
1,Blyth's Reed Warbler,Acrocephalus dumetorum
2,Marsh Warbler,Acrocephalus palustris
3,Sedge Warbler,Acrocephalus schoenobaenus
4,Boreal Owl,Aegolius funereus
5,Eurasian Skylark,Alauda arvensis
6,Little Owl,Athene noctua
7,Eurasian Eagle-Owl,Bubo bubo
8,European Nightjar,Caprimulgus europaeus
9,European Goldfinch,Carduelis carduelis
10,Common Rosefinch,Carpodacus erythrinus
11,European Greenfinch,Chloris chloris
12,Corn Crake,Crex crex
13,Common Cuckoo,Cuculus canorus
14,Eurasian Blue Tit,Cyanistes caeruleus
15,Corn Bunting,Emberiza calandra
16,Cirl Bunting,Emberiza cirlus
17,Yellowhammer,Emberiza citrinella
18,Ortolan Bunting,Emberiza hortulana
19,Common Reed Bunting,Emberiza schoeniclus
20,European Robin,Erithacus rubecula
21,European Pied Flycatcher,Ficedula hypoleuca
22,Red-breasted Flycatcher,Ficedula parva
23,Common Chaffinch,Fringilla coelebs
24,Eurasian Pygmy Owl,Glaucidium passerinum
25,Icterine Warbler,Hippolais icterina
26,Barn Swallow,Hirundo rustica
27,Common Linnet,Linaria cannabina
28,Common Grasshopper Warbler,Locustella naevia
29,Red Crossbill,Loxia curvirostra
30,Thrush Nightingale,Luscinia luscinia
31,Common Nightingale,Luscinia megarhynchos
32,Bluethroat,Luscinia svecica
33,Eurasian Golden Oriole,Oriolus oriolus
34,Great Tit,Parus major
35,Coal Tit,Periparus ater
36,Common Redstart,Phoenicurus phoenicurus
37,Common Chiffchaff,Phylloscopus collybita
38,Wood Warbler,Phylloscopus sibilatrix
39,Willow Warbler,Phylloscopus trochilus
40,Eurasian Bullfinch,Pyrrhula pyrrhula
41,Tawny Owl,Strix aluco
42,Eurasian Blackcap,Sylvia atricapilla
43,Garden Warbler,Sylvia borin
44,Common Whitethroat,Sylvia communis
45,Lesser Whitethroat,Sylvia curruca
46,Eurasian Wren,Troglodytes troglodytes
47,Common Blackbird,Turdus merula
48,Song Thrush,Turdus philomelos
